ID,NOME_FICTICIO,MCA_STATUS,IDADE,COR,GÊNERO,LOCAL,EDU_TÍTULO,GRAD_IES_CA,GRAD_STEM,PÓS,PUBLIC,LÍNG_EST,MOB_REG,MOB_INTER,QT_CARGOS_MOD,SET_PÚB,SET_PRIV,SET_TERC,P1_STEM,DP_STEM,STEM,STUP_NEXUS,STUP_FIN_FAPESP,STUP_FIN_ANJO,STUP_FIN_COLETIVO,STUP_FIN_CLIENTES,STUP_SÓCIO,STUP_SÓCIO_GEN,STUP_PORTE,STUP_SITUACAO,STUP_CNAE
ID00311,Júlia,Ativo,46+ anos,Branca,Feminino,Fora da MRVP,Graduado(a),IES privada,Graduação STEM,Sem pós,Publicou,2+ LE,Com regionalização,Com internacionalização,04-06 cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Lab,Sem FAP,,,,Não,Sem sócio,MEI,Inativa,"Comércio, reparação de veículos automotores e motocicletas (45-47)"
ID00104,Júlio,Ativo,31-45 anos,Branca,Masculino,Fora da MRVP,Doutor(a),IES privada,Graduação STEM,Pós STEM,Publicou,2+ LE,Sem regionalização,Sem internacionalização,04-06 cargos,Sem experiência pública,Sim,Sem experiência TS,Sem P1 STEM,Sem DP STEM,Nunca foi STEM,Growth,Sem FAP,,,,Não,Sem sócio,MEI,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00271,Kelvin,Ativo,15-30 anos,Branca,Masculino,Fora da MRVP,Graduado(a),IES pública,Graduação não-STEM,Sem pós,Não publicou,2+ LE,Com regionalização,Sem internacionalização,10+ cargos,Com experiência pública,Sim,Com experiência TS,Sem P1 STEM,Sem DP STEM,Nunca foi STEM,Lab,Sem FAP,,,,Não,Sem sócio,MEI,Ativa,Atividades administrativas e serviços complementares
ID00115,Lauro,Ativo,31-45 anos,Branca,Masculino,Fora da MRVP,Graduado(a),IES privada,Graduação não-STEM,Sem pós,Não publicou,2+ LE,Sem regionalização,Sem internacionalização,07-09 cargos,Sem experiência pública,Sim,Com experiência TS,Sem P1 STEM,Sem DP STEM,Nunca foi STEM,Growth,Sem FAP,,,,Sim,Similar,EPP,Ativa,Educação (85)
ID00192,Leonel,Ativo,31-45 anos,Branca,Masculino,Fora da MRVP,Graduado(a),IES privada,Graduação STEM,Sem pós,Não publicou,1 LE,Sem regionalização,Sem internacionalização,07-09 cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Sem DP STEM,Transição STEM,Growth,Sem FAP,,,,Sim,Similar,ME,Ativa,Informação e comunicação (58-63)
ID00081,Letícia,Ativo,31-45 anos,Branca,Feminino,Fora da MRVP,Graduado(a),IES pública,Graduação STEM,Sem pós,Não publicou,2+ LE,Com regionalização,Sem internacionalização,07-09 cargos,Com experiência pública,Sim,Sem experiência TS,Com P1 STEM,Sem DP STEM,Transição STEM,Growth,Sem FAP,,,,Sim,Diverso,ME,Ativa,Informação e comunicação (58-63)
ID00273,Livio,Ativo,31-45 anos,Branca,Masculino,Em MRVP,Graduado(a),IES privada,Graduação STEM,Pós não-STEM,Não publicou,2+ LE,Sem regionalização,Sem internacionalização,04-06 cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Lab,Sem FAP,,,,Sim,Similar,ME,Ativa,Indústria de transformação (10-33)
ID00042,Lorena,Ativo,46+ anos,Branca,Feminino,Fora da MRVP,Graduado(a),IES privada,Graduação não-STEM,Sem pós,Não publicou,1 LE,Sem regionalização,Sem internacionalização,01-03 cargos,Sem experiência pública,Sim,Sem experiência TS,Sem P1 STEM,Sem DP STEM,Nunca foi STEM,Growth,Sem FAP,,,,Sim,Diverso,ME,Ativa,Informação e comunicação (58-63)
ID00037,Lourenço,Ativo,31-45 anos,Branca,Masculino,Em MRVP,Graduado(a),IES pública,Graduação não-STEM,Sem pós,Não publicou,2+ LE,Com regionalização,Sem internacionalização,10+ cargos,Sem experiência pública,Sim,Com experiência TS,Sem P1 STEM,Sem DP STEM,Nunca foi STEM,Growth,Sem FAP,,,,Não,Sem sócio,ME,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00137,Luan,Ativo,46+ anos,Branca,Masculino,Fora da MRVP,Graduado(a),IES privada,Graduação STEM,Sem pós,Não publicou,1 LE,Com regionalização,Sem internacionalização,07-09 cargos,Com experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Lab,Sem FAP,,,,Sim,Similar,SE,Ativa,"Outros (finanças, saúde, construção, artes, agricultura)"
